Iter;Dataset;Split;Str;k;µ;KL
74;2;0;2;2;0,1;92,58474756
77;2;0;2;2;1;6,634701108
75;2;0;2;2;0,2;50,41153248
72;2;0;2;2;0,02;209,7100141
73;2;0;2;2;0,05;142,8988492
76;2;0;2;2;0,5;18,28219671
92;3;0;2;1;0,01;130,0350349
93;3;0;2;1;0,02;73,28062442
94;3;0;2;1;0,05;31,69108314
96;3;0;2;1;0,2;5,537137642
97;3;0;2;1;0,5;1,35978161
95;3;0;2;1;0,1;14,52356069
98;3;0;2;1;1;0,288610576
113;3;0;2;2;0,01;798,1397664
119;3;0;2;2;1;11,48832158
117;3;0;2;2;0,2;109,4220751
116;3;0;2;2;0,1;236,4785459
118;3;0;2;2;0,5;15,33392608
115;3;0;2;2;0,05;404,3780459
114;3;0;2;2;0,02;633,2997006
